country,cluster,av_gdp,gdp,gdpt,cum_gdp
United States,7,75930.74033140216,65118.3583328163,21374418877706.7,0.9096901193662444
Switzerland,7,75930.74033140216,81993.7271494202,703082435360.1171,0.029923019110200823
Norway,7,75930.74033140216,75419.63486880889,403336363636.364,0.017165898492042538
Ireland,7,75930.74033140216,78660.9564629603,388698711348.156,0.016542923536162466
Denmark,7,75930.74033140216,59822.0929608968,348078018463.905,0.014814116630578958
Qatar,7,75930.74033140216,64781.73319741691,183466208791.20898,0.007808277657972705
Luxembourg,7,75930.74033140216,114704.59417086301,71104919108.1411,0.0030262082314891003
Iceland,7,75930.74033140216,66944.8255080349,24188035738.7846,0.0010294369753088117
Germany,8,41711.32158346211,46258.87828970519,3845630030823.52,0.21041390967020224
United Kingdom,8,41711.32158346211,42300.267125825,2827113184695.58,0.15468569090214504
France,8,41711.32158346211,40493.9285720456,2715518274227.45,0.14857976775751353
Italy,8,41711.32158346211,33189.5657988542,2001244392041.57,0.10949822353162239
Canada,8,41711.32158346211,46194.7252255167,1736425629519.96,0.0950086468615899
Spain,8,41711.32158346211,29613.6711379783,1394116310768.63,0.07627916911731851
Netherlands,8,41711.32158346211,52447.831439191104,909070395160.783,0.04973984873169255
Sweden,8,41711.32158346211,51610.066055220195,530832908737.86206,0.029044558840523833
Belgium,8,41711.32158346211,46116.69923368,529606710418.03796,0.02897746731574448
Austria,8,41711.32158346211,50277.2750874213,446314739528.47,0.02442014144234068
United Arab Emirates,8,41711.32158346211,43103.3230583165,421142267937.65,0.02304282794077322
Israel,8,41711.32158346211,43641.3977358108,395098666121.616,0.021617850489462808
Finland,8,41711.32158346211,48685.8539866945,268761201364.705,0.01470528748047507
Portugal,8,41711.32158346211,23145.0408172828,237686075634.698,0.013005009854719257
Malta,8,41711.32158346211,29416.230607008398,14786156563.3046,0.0008090255657834026
Andorra,8,41711.32158346211,40886.3911648431,3154057987.23833,0.0001725744980931583
Japan,0,20255.478879314458,40246.8801284164,5081769542379.77,0.4796408399502706
South Korea,0,20255.478879314458,31761.977692344703,1642383217167.26,0.15501570058083167
Australia,0,20255.478879314458,54907.1019101424,1392680589329.14,0.1314476152603039
